@ Lines starting with @ are comments
@ Columns:
@  Ch            - channel number
@  Width         - ingore, set to 1.0
@  Crosssection  - ignore, set to 1.0
@  Reaction      - channel reaction
@
@ when first number is divisible by 3 (0*, 3*, 6* etc.) the channel describe background for Lambda(1520) diLepton decay
@ when first number is even (2*, 4*, 6* etc.) the channel describe background for cascade production
@ when firs number is divisible by 2 and 3 (0*,6*), channel belongs to both simulations
@Ch    Width    Crossection    Reaction


@ pp elastic and quasi-elastics
301   1.0     0.0        n,Sigma+,K+,pi0,pi0
302   1.0     0.0        n,Sigma+,K+,pi+,pi-
303   1.0     0.0        n,Sigma+,K+,pi0,pi0,pi0
304   1.0     0.0        n,Sigma+,K+,pi+,pi-,pi0
305   1.0     0.0        n,Sigma+,K+,pi0,pi0,pi0,pi0
306   1.0     0.0        n,Sigma+,K+,pi+,pi+,pi0,pi0
307   1.0     0.0        n,Sigma+,K+,pi+,pi+,pi+,pi-

@ Sigma+1180 + K0s
320   1.0     1.0        p,Sigma+,K0S
321   1.0     1.0        p,Sigma+,K0S,pi0
322   1.0     1.0        p,Sigma+,K0S,pi0,pi0
323   1.0    21.3        p,Sigma+,K0S,pi+,pi-
324   1.0     0.0        p,Sigma+,K0S,pi0,pi0,pi0
325   1.0    21.3        p,Sigma+,K0S,pi+,pi-,pi0
326   1.0     0.0        p,Sigma+,K0S,pi0,pi0,pi0,pi0
327   1.0    21.3        p,Sigma+,K0S,pi+,pi-,pi0,pi0
328   1.0    21.3        p,Sigma+,K0S,pi+,pi-,pi+,pi-

330   1.0     1.0        n,Sigma+,K0S,pi+
331   1.0     1.0        n,Sigma+,K0S,pi+,pi0
332   1.0     1.0        n,Sigma+,K0S,pi+,pi0,pi0
333   1.0    21.3        n,Sigma+,K0S,pi+,pi+,pi-
334   1.0     0.0        n,Sigma+,K0S,pi+,pi0,pi0,pi0
335   1.0    21.3        n,Sigma+,K0S,pi+,pi+,pi-,pi0

@ Sigma+1180 + K0l
340   1.0     1.0        p,Sigma+,K0L
341   1.0     1.0        p,Sigma+,K0L,pi0
342   1.0     1.0        p,Sigma+,K0L,pi0,pi0
343   1.0    21.3        p,Sigma+,K0L,pi+,pi-
344   1.0     0.0        p,Sigma+,K0L,pi0,pi0,pi0
345   1.0    21.3        p,Sigma+,K0L,pi+,pi-,pi0
346   1.0     0.0        p,Sigma+,K0L,pi0,pi0,pi0,pi0
347   1.0    21.3        p,Sigma+,K0L,pi+,pi-,pi0,pi0
348   1.0    21.3        p,Sigma+,K0L,pi+,pi-,pi+,pi-

350   1.0     1.0        n,Sigma+,K0L,pi+
351   1.0     1.0        n,Sigma+,K0L,pi+,pi0
352   1.0     1.0        n,Sigma+,K0L,pi+,pi0,pi0
353   1.0    21.3        n,Sigma+,K0L,pi+,pi+,pi-
354   1.0     0.0        n,Sigma+,K0L,pi+,pi0,pi0,pi0
355   1.0    21.3        n,Sigma+,K0L,pi+,pi+,pi-,pi0

@ Sigma-1180 + K+
400   1.0     0.0        p,Sigma-,K+,pi+
401   1.0     0.0        p,Sigma-,K+,pi+,pi0
402   1.0     0.0        p,Sigma-,K+,pi+,pi0,pi0
403   1.0     0.0        p,Sigma-,K+,pi+,pi+,pi-
404   1.0     0.0        p,Sigma-,K+,pi+,pi0,pi0.pi0
405   1.0     0.0        p,Sigma-,K+,pi0,pi+,pi-,pi0

410   1.0     0.0        n,Sigma-,K+,pi+,pi+
411   1.0     0.0        n,Sigma-,K+,pi+,pi+,pi0
412   1.0     0.0        n,Sigma-,K+,pi+,pi+,pi0,pi0
413   1.0     0.0        n,Sigma-,K+,pi+,pi+,pi+,pi-

@ Sigma-1180 + K0s
420   1.0     1.0        p,Sigma-,K0S,pi+,pi+
421   1.0     1.0        p,Sigma-,K0S,pi+,pi+,pi0
422   1.0     1.0        p,Sigma-,K0S,pi+,pi+,pi0,pi0
423   1.0     1.0        p,Sigma-,K0S,pi+,pi+,pi+,pi-

430   1.0     1.0        n,Sigma-,K0S,pi+,pi+,pi+
431   1.0     1.0        n,Sigma-,K0S,pi+,pi+,pi+,pi0

@ Sigma-1180 + K0l
440   1.0     1.0        p,Sigma-,K0L,pi+,pi+
441   1.0     1.0        p,Sigma-,K0L,pi+,pi+,pi0
442   1.0     1.0        p,Sigma-,K0L,pi+,pi+,pi0,pi0
443   1.0    21.3        p,Sigma-,K0L,pi+,pi+,pi+,pi-

450   1.0     1.0        n,Sigma-,K0L,pi+,pi+,pi+
451   1.0     1.0        n,Sigma-,K0L,pi+,pi+,pi+,pi0

@ Heavy hyperons
500   1.0     1.0        p,K+,Sigma(1385)0[Lambda,dilepton[e+,e-]]
501   1.0     1.0        p,K+,Sigma(1385)0[decay]

510   1.0     1.0        p,K+,Lambda(1405)[Lambda,dilepton[e+,e-]]
511   1.0     1.0        p,K+,Lambda(1405)[decay:Sigma13850:]

520   1.0     1.0        p,K+,Lambda(1520)[Lambda,dilepton[e+,e-]]
521   1.0     1.0        p,K+,Lambda(1520)[decay:Sigma13850:Lambda1405:]

530   1.0     1.0        p,K+,Xi(1530)0[Lambda,dilepton[e+,e-]]
531   1.0     1.0        p,K+,Xi(1530)0[decay]

540   1.0     1.0        p,K+,Xi(1530)-[Lambda,dilepton[e+,e-]]
541   1.0     1.0        p,K+,Xi(1530)-[decay]

@ Double strange channels
600   1.0     1.0        Xi-,K+,K+,p
601   1.0     1.0        Xi-,K+,K+,p,pi0
602   1.0     1.0        Xi-,K+,K+,p,pi0,pi0
603   1.0     1.0        Xi-,K+,K+,p,pi+,pi-
604   1.0     1.0        Xi-,K+,K+,p,pi0,pi0,pi0
605   1.0     1.0        Xi-,K+,K+,p,pi+,pi-,pi0
610   1.0     1.0        Xi-,K0,K0,p
611   1.0     1.0        Xi-,K0,K0,p,pi0
612   1.0     1.0        Xi-,K0,K0,p,pi0,pi0
613   1.0     1.0        Xi-,K0,K0,p,pi+,pi-
614   1.0     1.0        Xi-,K0,K0,p,pi0,pi0,pi0
615   1.0     1.0        Xi-,K0,K0,p,pi+,pi-,pi0

650   1.0     1.0        Lambda,Lambda,K+,K+
651   1.0     1.0        Lambda,Lambda,K+,K+,pi0
652   1.0     1.0        Lambda,Lambda,K+,K+,pi0,pi0
653   1.0     1.0        Lambda,Lambda,K+,K+,pi+,pi-
654   1.0     1.0        Lambda,Lambda,K+,K+,pi0,pi0,pi0
655   1.0     1.0        Lambda,Lambda,K+,K+,pi+,pi-,pi0

660   1.0     1.0        Lambda,Sigma0,K+,K+
661   1.0     1.0        Lambda,Sigma0,K+,K+,pi0
662   1.0     1.0        Lambda,Sigma0,K+,K+,pi0,pi0
663   1.0     1.0        Lambda,Sigma0,K+,K+,pi+,pi-
664   1.0     1.0        Lambda,Sigma0,K+,K+,pi0,pi0,pi0
665   1.0     1.0        Lambda,Sigma0,K+,K+,pi+,pi-,pi0

@ K+K- production
700   1.0     1.0        p,p,K+,K-
700   1.0     1.0        p,p,K+,K-,pi0
700   1.0     1.0        p,p,K+,K-,pi0,pi0
700   1.0     1.0        p,p,K+,K-,pi+,pi-
700   1.0     1.0        p,p,K+,K-,pi0,pi0,pi0
700   1.0     1.0        p,p,K+,K-,pi+,pi-,pi0

710   1.0     1.0        p,p,K+,K0S,pi-
711   1.0     1.0        p,p,K+,K0S,pi-,pi0
712   1.0     1.0        p,p,K+,K0S,pi-,pi0,pi0
713   1.0     1.0        p,p,K+,K0S,pi-,pi+,pi-

@ K0K0 production
750   1.0     6.4        p,p,K0S,K0S
751   1.0    15.7        p,n,K0S,K0S,pi0
752   1.0    16.0        p,p,K0S,K0S,pi0,pi0
753   1.0     5.4        p,n,K0S,K0S,pi+,pi-
754   1.0     6.3        p,p,K0S,K0S,pi0,pi0,pi0
755   1.0    36.0        p,n,K0S,K0S,pi+,pi+,pi0
